Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmployeeComments,EmployeeComments_Processed,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,Attrition_No,Attrition_Yes,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Over18_Y,OverTime_No,OverTime_Yes,sentiment_label_Negative,sentiment_label_Neutral,sentiment_label_Positive,salary_to_income_ratio,workload_score,career_progress_ratio,promotion_frequency,job_change_frequency,satisfaction_index,attrition_risk_score,average_rating,engagement_potential,attrition_risk_category_High_Risk,attrition_risk_category_Low_Risk,attrition_risk_category_Medium_Risk
35,809,16,3,1,14,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,5,3,5,4,0,3,"Standard work situation, nothing exceptional.","standard work situation, nothing exceptional.",0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,6.789864029666255,1,0.8571428571428571,6.0,0.14285714285714285,2.25,1.2035714285714287,3.5,3.7964285714285713,False,False,True
29,153,15,2,1,15,4,49,2,2,3,4193,12682,0,12,3,4,80,0,10,3,3,9,5,0,8,Excellent opportunities for learning and development.,excellent opportunities for learning and development.,0.743,0.612,0.0,0.388,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,3.023843586075346,1,0.9090909090909091,10.0,0.09090909090909091,3.5,0.5681818181818182,2.5,4.431818181818182,False,True,False
31,670,26,1,1,16,1,31,3,1,3,2911,15170,1,17,3,4,80,1,5,1,2,5,2,4,3,Decent workplace but room for improvement.,decent workplace but room for improvement.,0.6124,0.444,0.0,0.556,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,5.209478021978022,0,1.0,1.2,0.3333333333333333,2.5,0.75,3.0,4.25,False,True,False
34,1346,19,2,1,18,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,2,3,2,2,1,2,"Work is fine, management is okay.","work is fine, management is okay.",0.4019,0.481,0.0,0.519,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,3.290007513148009,1,0.75,1.5,0.25,3.0,0.8500000000000001,3.0,4.15,False,True,False
28,103,24,3,1,19,3,50,2,1,3,2028,12947,5,14,3,2,80,0,6,4,3,4,2,0,3,"Job is acceptable, could have more benefits.","job is acceptable, could have more benefits.",0.6361,0.509,0.0,0.491,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,6.380975850172499,1,0.7142857142857143,5.0,0.8571428571428571,2.75,0.9821428571428572,2.5,4.017857142857142,False,True,False
29,1389,21,4,1,20,2,51,4,3,1,9980,10195,1,11,3,3,80,1,10,1,3,10,9,8,8,Average work conditions and typical responsibilities.,average work conditions and typical responsibilities.,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,1.0214407374010621,1,1.0,1.2222222222222223,0.18181818181818182,2.25,1.175,3.5,3.825,False,False,True
32,334,5,2,1,21,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,5,2,6,2,0,5,The role is satisfactory but could be better.,the role is satisfactory but could be better.,0.6808,0.483,0.0,0.517,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,4.5628978478326765,1,0.875,7.0,0.125,2.25,1.2,3.5,3.8,False,False,True
22,1123,16,2,1,22,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,2,1,0,0,0,Decent workplace but room for improvement.,decent workplace but room for improvement.,0.6124,0.444,0.0,0.556,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,2.494550408719346,2,1.0,2.0,1.0,3.0,1.1,3.5,3.9,False,False,True
53,1219,2,4,1,23,1,78,2,4,4,15427,22021,2,16,3,3,80,0,31,3,3,25,8,3,7,"Job is acceptable, could have more benefits.","job is acceptable, could have more benefits.",0.6361,0.509,0.0,0.491,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,1.4273399014778325,1,0.8125,6.5,0.09375,2.75,0.9625,2.5,4.0375,False,True,False
38,371,2,3,1,24,4,45,3,1,4,3944,4306,5,11,3,3,80,0,6,3,3,3,2,1,2,Excellent work-life balance and supportive management. Loving this job!,excellent work-life balance and supportive management. loving this job!,0.8777,0.627,0.0,0.373,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,1.091508238276299,1,0.5714285714285714,2.0,0.8571428571428571,3.5,0.6357142857142858,3.0,4.364285714285714,False,True,False
24,673,11,2,1,26,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,5,2,4,2,1,3,Average work conditions and typical responsibilities.,average work conditions and typical responsibilities.,0.0,0.0,0.0,1.0,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,2.0518444666001994,0,0.8333333333333334,2.5,0.16666666666666666,2.5,0.7833333333333333,3.5,4.216666666666667,False,True,False
36,1218,9,4,1,27,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,4,3,5,3,0,3,It's a decent job with normal work environment.,it's a decent job with normal work environment.,0.0,0.0,0.0,1.0,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,2.049882629107981,1,0.5454545454545454,6.0,0.7272727272727273,2.25,1.2659090909090909,3.0,3.7340909090909093,False,False,True
34,419,7,4,1,28,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,4,3,12,6,2,11,The job meets expectations for the most part.,the job meets expectations for the most part.,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,1.7751563151313048,0,0.9285714285714286,4.333333333333333,0.07142857142857142,2.25,0.8892857142857142,3.0,4.110714285714286,False,True,False
21,391,15,2,1,30,3,96,3,1,4,1232,19281,1,14,3,4,80,0,0,6,3,0,0,0,0,Love the collaborative environment and innovative projects.,love the collaborative environment and innovative projects.,0.7964,0.587,0.0,0.413,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,15.637469586374696,0,1.0,1.0,2.0,3.5,0.25,3.0,4.75,False,True,False
34,699,6,1,1,31,2,83,3,1,1,2960,17102,2,11,3,3,80,0,8,2,3,4,2,1,3,Standard corporate job with usual pros and cons.,standard corporate job with usual pros and cons.,0.0,0.0,0.0,1.0,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,5.775751435325904,0,0.5555555555555556,2.5,0.3333333333333333,2.25,0.9638888888888889,3.0,4.036111111111111,False,True,False
53,1282,5,3,1,32,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,3,2,14,13,4,8,It's a decent job with normal work environment.,it's a decent job with normal work environment.,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,0.5621890547263682,1,0.5555555555555556,3.0,0.18518518518518517,3.0,0.888888888888889,3.0,4.111111111111111,False,True,False
32,1125,16,1,1,33,2,72,1,1,1,3919,4681,1,22,4,2,80,0,10,5,3,10,2,6,7,Deeply unhappy with this position and company.,deeply unhappy with this position and company.,-0.4754,0.0,0.34,0.66,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,1.1941326530612244,2,1.0,1.5714285714285714,0.18181818181818182,2.0,1.6,2.5,3.4,False,False,True
42,691,8,4,1,35,3,48,3,2,2,6825,21173,0,11,3,4,80,1,10,2,3,9,7,4,2,"Work is fine, management is okay.","work is fine, management is okay.",0.4019,0.481,0.0,0.519,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,3.101816583650747,0,0.9090909090909091,2.0,0.09090909090909091,3.0,0.5181818181818182,3.0,4.4818181818181815,False,True,False
44,477,7,4,1,36,1,42,2,3,4,10248,2094,3,14,3,4,80,1,24,4,3,22,6,5,17,"Work environment is neutral, neither good nor bad.","work environment is neutral, neither good nor bad.",-0.5824,0.0,0.443,0.557,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0.20431261586496244,0,0.92,3.8333333333333335,0.16,3.0,0.516,2.5,4.484,False,True,False
46,705,2,4,1,38,2,83,3,5,1,18947,22822,3,12,3,4,80,0,22,2,2,2,2,2,1,"Standard work situation, nothing exceptional.","standard work situation, nothing exceptional.",0.0,0.0,0.0,1.0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,1.204454295967912,0,0.13043478260869565,1.0,0.17391304347826086,2.25,1.0489130434782608,3.0,3.9510869565217392,False,False,True
33,924,2,3,1,39,3,78,3,1,4,2496,6670,4,11,3,4,80,0,7,3,3,1,1,0,0,Very satisfied with my position and the team dynamics.,very satisfied with my position and the team dynamics.,0.6361,0.426,0.0,0.574,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,2.671205446535843,1,0.25,2.0,0.625,3.5,0.7000000000000001,3.0,4.3,False,True,False
44,1459,10,4,1,40,4,41,3,2,4,6465,19121,2,13,3,4,80,0,9,5,4,4,2,1,3,Very happy with compensation and career development here.,very happy with compensation and career development here.,0.6115,0.363,0.0,0.637,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,2.9571605320136096,2,0.5,2.5,0.3,4.0,0.7,3.0,4.3,False,True,False
30,125,9,2,1,41,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,5,3,10,0,1,8,Average work conditions and typical responsibilities.,average work conditions and typical responsibilities.,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,7.3026733121884915,0,1.0,5.5,0.18181818181818182,2.75,0.625,2.5,4.375,False,True,False
39,895,5,3,1,42,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,6,4,1,0,0,0,Very happy with compensation and career development here.,very happy with compensation and career development here.,0.6115,0.363,0.0,0.637,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,1.59798754192621,1,0.1,2.0,0.2,3.75,0.605,3.0,4.395,False,True,False
24,813,1,3,1,45,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,2,0,2,0,"Work environment is neutral, neither good nor bad.","work environment is neutral, neither good nor bad.",-0.5824,0.0,0.443,0.557,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,1.3164777680906714,2,0.42857142857142855,1.0,0.42857142857142855,2.25,1.5892857142857144,3.0,3.4107142857142856,False,False,True
43,1273,2,2,1,46,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,3,2,5,3,1,4,Average work conditions and typical responsibilities.,average work conditions and typical responsibilities.,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,8.285336356764928,1,0.8571428571428571,3.0,0.2857142857142857,3.25,0.7035714285714286,3.5,4.296428571428572,False,True,False
50,869,3,2,1,47,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,2,3,3,2,0,2,Standard corporate job with usual pros and cons.,standard corporate job with usual pros and cons.,0.0,0.0,0.0,1.0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,1.4195230998509687,2,1.0,4.0,0.5,2.5,1.35,2.5,3.65,False,False,True
35,890,2,3,1,49,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,3,2,2,2,2,"Work environment is neutral, neither good nor bad.","work environment is neutral, neither good nor bad.",-0.5824,0.0,0.443,0.557,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,4.8074441687344915,1,1.0,1.0,0.6666666666666666,3.0,0.8,3.0,4.2,False,True,False
36,852,5,4,1,51,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,3,4,1,1,0,0,The role is satisfactory but could be better.,the role is satisfactory but could be better.,0.6808,0.483,0.0,0.517,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,3.8222222222222224,2,0.2857142857142857,2.0,1.4285714285714286,2.75,1.3678571428571429,2.5,3.632142857142857,False,False,True
33,1141,1,3,1,52,3,42,4,2,1,5376,3193,2,19,3,1,80,2,10,3,3,5,3,1,3,Unhappy with current role and team dynamics.,unhappy with current role and team dynamics.,-0.1779,0.212,0.283,0.505,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,0.5938255532824995,1,0.5454545454545454,3.0,0.2727272727272727,2.0,1.3909090909090909,3.5,3.6090909090909093,False,False,True
35,464,4,2,1,53,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,3,1,0,0,0,Standard corporate job with usual pros and cons.,standard corporate job with usual pros and cons.,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,5.589139344262295,0,1.0,2.0,1.0,3.25,0.375,3.0,4.625,False,True,False
27,1240,2,4,1,54,4,33,3,1,1,2341,19715,1,13,3,4,80,1,1,6,3,1,0,0,0,The role is satisfactory but could be better.,the role is satisfactory but could be better.,0.6808,0.483,0.0,0.517,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,8.41801878736123,1,1.0,2.0,1.0,3.0,0.8,3.0,4.2,False,True,False
26,1357,25,3,1,55,1,48,1,1,3,2293,10558,1,12,3,3,80,0,1,2,2,1,0,0,1,The job meets expectations for the most part.,the job meets expectations for the most part.,0.0,0.0,0.0,1.0,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,4.6024411508282475,1,1.0,2.0,1.0,2.25,1.175,2.0,3.825,False,False,True
27,994,8,3,1,56,4,37,3,3,3,8726,2975,1,15,3,4,80,0,9,0,3,9,8,1,7,Very satisfied with my position and the team dynamics.,very satisfied with my position and the team dynamics.,0.6361,0.426,0.0,0.574,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,0.34089606966884384,1,1.0,5.0,0.2,3.5,0.55,3.0,4.45,False,True,False
30,721,1,2,1,57,3,58,3,2,4,4011,10781,1,23,4,4,80,0,12,2,3,12,8,3,7,Amazing experience working here. Highly motivated!,amazing experience working here. highly motivated!,0.8118,0.649,0.0,0.351,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,2.687188434695912,0,1.0,3.25,0.15384615384615385,3.5,0.25,3.5,4.75,False,True,False
41,1360,12,3,1,58,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,0,3,22,15,15,8,Average work conditions and typical responsibilities.,average work conditions and typical responsibilities.,0.0,0.0,0.0,1.0,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,0.8329069886421774,1,0.9583333333333334,1.4375,0.08333333333333333,3.0,0.8083333333333333,3.0,4.191666666666666,False,True,False
34,1065,23,4,1,60,2,72,3,2,3,4568,10034,0,20,4,3,80,0,10,2,3,9,5,8,7,The role is satisfactory but could be better.,the role is satisfactory but could be better.,0.6808,0.483,0.0,0.517,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,2.1961041803458086,1,0.9090909090909091,1.1111111111111112,0.09090909090909091,2.75,0.9431818181818182,3.5,4.056818181818182,False,True,False
37,408,19,2,1,61,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,1,3,1,0,0,0,Unhappy with current role and team dynamics.,unhappy with current role and team dynamics.,-0.1779,0.212,0.283,0.505,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,3.383063182269269,0,0.2222222222222222,2.0,0.5555555555555556,2.0,1.1555555555555554,3.5,3.8444444444444446,False,False,True
46,1211,5,4,1,62,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,4,3,9,6,0,8,"Work environment is neutral, neither good nor bad.","work environment is neutral, neither good nor bad.",-0.5824,0.0,0.443,0.557,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,3.5414862289970555,2,0.6666666666666666,10.0,0.3333333333333333,2.75,1.2916666666666667,3.5,3.708333333333333,False,False,True
35,1229,8,1,1,63,4,36,4,1,4,2269,4892,1,19,3,4,80,0,1,2,3,1,0,0,1,Excellent opportunities for learning and development.,excellent opportunities for learning and development.,0.743,0.612,0.0,0.388,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,2.155066079295154,1,1.0,2.0,1.0,3.75,0.425,3.5,4.575,False,True,False
48,626,1,2,1,64,1,98,2,3,3,5381,19294,9,13,3,4,80,0,23,2,3,1,0,0,0,"Work is fine, management is okay.","work is fine, management is okay.",0.4019,0.481,0.0,0.519,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,3.5849126718691937,1,0.08333333333333333,2.0,0.4166666666666667,2.75,1.1083333333333334,2.5,3.8916666666666666,False,False,True
28,1434,5,4,1,65,3,50,3,1,3,3441,11179,1,13,3,3,80,0,2,3,2,2,2,2,2,It's a decent job with normal work environment.,it's a decent job with normal work environment.,0.0,0.0,0.0,1.0,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,3.247821034282394,2,1.0,1.0,0.6666666666666666,2.75,1.225,3.0,3.775,False,False,True
44,1488,1,5,1,68,2,75,3,2,1,5454,4009,5,21,4,3,80,1,9,2,2,4,3,1,3,Unhappy with current role and team dynamics.,unhappy with current role and team dynamics.,-0.1779,0.212,0.283,0.505,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,0.7349220898258478,2,0.5,2.5,0.6,2.0,1.7000000000000002,3.5,3.3,False,False,True
35,1097,11,2,1,70,3,79,2,3,1,9884,8302,2,13,3,3,80,1,10,3,3,4,0,2,3,The role is satisfactory but could be better.,the role is satisfactory but could be better.,0.6808,0.483,0.0,0.517,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,0.8398583712696004,2,0.45454545454545453,1.6666666666666667,0.2727272727272727,2.5,1.4590909090909092,2.5,3.540909090909091,False,False,True
26,1443,23,3,1,72,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,2,0,0,Decent workplace but room for improvement.,decent workplace but room for improvement.,0.6124,0.444,0.0,0.556,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,5.155363155363156,2,0.5,3.0,1.3333333333333333,3.0,1.2000000000000002,2.5,3.8,False,False,True
